nct_id,title,official_title,overall_status,phase,sponsor,start_date,primary_completion_date,completion_date,first_posted_date,last_update_date,planned_primary_outcomes,planned_secondary_outcomes,results_outcome_measures,results_participant_flow,results_baseline,results_adverse_events,site_count,site_countries,sites_compact,start_year,Pathologic_Complete_Response,Event_Free_Survival,Disease_Free_Survival,Overall_Survival,Best_Overall_Response,Duration_of_Response,Progression_Free_Survival,Overall_Response,Target_Response,Non_target_Response,Symptomatic_Deterioration,Disease_Recurrence,Pathologic_Complete_Response_pCR,Objective_Response_Rate,Time_to_Progression,detected_endpoint_names,planned_endpoint_count,reporting_gap_flag,consort_participant_flow,consort_recruitment,consort_baseline,consort_numbers_analyzed,consort_outcomes_estimation,consort_ancillary_analyses,consort_harms,consort_results_score,HER2_flag,BRCAm_flag,NM_new_medicine,EI_extension_of_indication,nm_ei_explanation,sponsor_class,has_results,completion_year,years_since_completion,multi_country_flag,phase_bucket
NCT02682693,Denosumab as an add-on Neoadjuvant Treatment (GeparX),Investigating Denosumab as an add-on Neoadjuvant Treatment for RANK-positive or RANK-negative Primary Breast Cancer and Two Different Nab-Paclitaxel Schedules ; 2x2 Factorial Design (GeparX),COMPLETED,PHASE2,GBG Forschungs GmbH,2017-02-13,2019-12-31,2020-12-31,2016-02-15,2021-02-02,"['pcR rates of neoadjuvant treatment with or without denosumab in addition to nab-paclitaxel and EC.', 'pcR (ypT0 ypN0) rates of nab-Paclitaxel weekly for 12 weeks or 2 of 3 weeks for 12 weeks']","['To test for interaction of denosumab treatment with RANK expression.', 'To assess the pCR rates per arm for both randomizations separately for TNBC and HR-/HER2+ tumors.']",,,,,1,Germany,"Charité Campus Mitte [Berlin, Germany]",2017.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response (pCR)""]",1,1,0,1,0,0,0,0,0,1,1,0,0,1,,OTHER,False,2020.0,5.0,0,Phase 2
NCT03013504,"A Phase III Trial to Compare the Efficacy, Safety and Pharmacokinetics of HD201 to Herceptin® in HER2+ Early Breast Cancer Patients","A Randomised, Double-blind, Parallel Group, Equivalence, Multicentre Phase III Trial to Compare the Efficacy, Safety and Pharmacokinetics of HD201 to Herceptin® in Patients with HER2+ Early Breast Cancer",COMPLETED,PHASE3,Prestige Biopharma Limited,2018-02-19,2019-04-19,2022-01-13,2017-01-06,2024-11-06,['total pathological complete response rate (tpCR)'],"['total breast pathological complete response rate (bpCR)', 'Overall response rate (ORR)', 'Overall Survival (OS)', 'Event-free Survival (EFS)', 'Incidence of Treatment-Emergent Adverse Events (Safety and tolerability)', 'Cardiac dysfunction', 'Immunogenecity', 'Clearance (Pharmacokinetic)', 'Area under the curve (AUC, Pharmacokinetic)', 'Plasma half life (Pharmacokinetic)']",,,,,15,Belarus; Bulgaria; Estonia; France; Georgia; Hungary; Italy; Malaysia; Poland; Russia; Spain; Thailand; Ukraine,"Minsk Clinical Oncological Dispensary [Minsk, Belarus] | Complex Oncology Center [Plovdiv, Bulgaria] | East Tallinn Central Hospital [Tallinn, Estonia] | Centre René Huguenin (Institut Curie) [Saint-Cloud, France] | S. Khechinashvili University Hospital [Tbilisi, Georgia] | National Institute of Oncology [Budapest, Hungary] | University of Debrecen [Debrecen, Hungary] | Modena Hospital [Modena, Italy] | Beacon International Specialist Centre [Kuala Lumpur, Malaysia] | Hospital Kuala Lumpur [Kuala Lumpur, Malaysia] | Szpital Specjalistyczny Brzeziny [Brzeziny, Poland] | LLC ""Vitamed"" [Moscow, Russia] | Hospital Universitario Virgen Macarena [Seville, Spain] | Maharaj Nakorn Chiang Mai Hospital [Chiang Mai, Thailand] | GI ""V. T. Zaycev Institute General and Urgent Surgery of NAMS of Ukraine "" [Kharkiv, Ukraine]",2018.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response (pCR)""]",1,1,0,1,0,0,0,0,0,1,1,0,0,1,"The trial compares HD201, a biosimilar to Herceptin, in patients with HER2+ early breast cancer, indicating an extension of indication for a similar treatment rather than a new medicine.",INDUSTRY,False,2022.0,3.0,1,Phase 3
NCT03128619,"Copanlisib, Letrozole, and Palbociclib in Treating Patients With Hormone Receptor Positive HER2 Negative Stage I-IV Breast Cancer","A Phase Ib Trial Evaluating the Safety of Copanlisib, Letrozole, and Palbociclib in Metastatic Breast Cancer and Phase II Trial Comparing the Molecular Effects of Neoadjuvant Copanlisib in Combination With Palbociclib and Letrozole, vs. Copanlisib With Letrozole, vs. Palbociclib With Letrozole for Patients With Hormone Receptor Positive, HER2 Normal Breast Cancer",TERMINATED,PHASE1,Jonsson Comprehensive Cancer Center,2017-08-02,2022-03-31,2022-03-31,2017-04-25,2022-09-26,"['Change in Ki-67 expression defined as the percent of cells staining positive by validated central assay (Phase II)', 'Incidence of dose-limiting toxicities (DLT) evaluated according to National Cancer Institute (NCI) CTCAE version 4.0 to determine MTD (Phase Ib)']","['Clinical objective response rate (ORR) evaluated by RECIST 1.1 using caliper measurements', 'Gene expression and/or biomarker changes', 'Incidence of adverse events (AEs) evaluated according to NCI CTCAE version 4.0', 'pCR rate defined as the percentage of randomized patients with a pCR', 'The pharmacokinetic (PK) parameter - area under the plasma concentration-time curve (AUC) will be determined for copanlisib in arms A, B, and escalation dose levels.', 'The pharmacokinetic (PK) parameter - Elimination half-life (t½) will be determined for copanlisib in arms A, B, and escalation dose levels.', 'The pharmacokinetic (PK) parameter - Maximum plasma concentration (Cmax) will be determined for copanlisib in arms A, B, and escalation dose levels.', 'The pharmacokinetic (PK) parameter - Minimum plasma concentration of BAY 80-694 will be determined for copanlisib in arms A, B, and escalation dose levels.', 'The pharmacokinetic (PK) parameter - Time when Cmax occurs (Tmax) will be determined for copanlisib in arms A, B, and escalation dose levels.', 'The pharmacokinetic (PK) parameter - Average plasma concentration at steady state (Cavg) will be determined for copanlisib in arms A, B, and escalation dose levels.']",,,,,1,United States,"UCLA / Jonsson Comprehensive Cancer Center [Los Angeles, United States]",2017.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"[""Overall Survival"",""Pathologic Complete Response (pCR)""]",2,1,0,1,0,0,0,0,0,1,1,0,0,1,,OTHER,False,2022.0,3.0,0,Phase 1
NCT03140553,TCH Versus EC-TH as Neoadjuvant Treatment for HER2-Positive Breast Cancer,TCH (Docetaxel/Carboplatin/Trastuzumab) Versus EC -TH(Epirubicin/Cyclophosphamide Followed by Docetaxe/Trastuzumab) as Neoadjuvant Treatment for HER2-Positive Breast Cancer,COMPLETED,PHASE2,Guangdong Provincial People's Hospital,2016-09-01,2019-11-11,2019-11-11,2017-05-04,2020-07-28,['pCR'],[],,,,,1,China,"Guangdong General Hospital [Guangzhou, China]",2016.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response (pCR)""]",1,1,0,1,0,0,0,0,0,1,1,0,0,1,,OTHER,False,2019.0,6.0,0,Phase 2
NCT03248427,Neadjuvant Multi-agent Chemotherapy or Letrozole Plus Ribociclib in Luminal B/HER2-negative Breast Cancer.,CORALLEEN: A Phase 2 Clinical Trial of Multi-agent Chemotherapy or Letrozole Plus Ribociclib (LEE011) as Neoadjuvant Treatment for Postmenopausal Patients With Luminal B/HER2-negative Breast Cancer.,COMPLETED,PHASE2,SOLTI Breast Cancer Research Group,2017-07-13,2019-06-10,2019-07-20,2017-08-14,2021-03-17,['Rate of ROR-low according to the Prosigna test.'],"['Tumor Overall response rate (ORR)', 'pCR in the breast and axillary lymph nodes', 'PEPI Score', 'Residual Cancer Burden (RCB)', 'Rate of breast conserving surgery (BCS)', 'Decrease in Ki67 in both treatment arms.', 'Incidence, duration and severity of Adverse Events (AEs)']",,,,,21,Spain,"Hospital Clinic de Barcelona [Barcelona, Spain] | Hospital General de Catalunya [Barcelona, Spain] | Hospital Universitari Vall d' Hebron [Barcelona, Spain] | Institut Català d'Oncologia l'Hospitalet [Barcelona, Spain] | Consorcio Hospitalario Provincial de Castellón [Castelló, Spain] | Hospital San Pedro de Alcántara [Cáceres, Spain] | Fundació Privada Hospital Asil de Granollers [Granollers, Spain] | Centro Integral Oncologico Clara Campal [Madrid, Spain] | Centro Oncológico MD Anderson International España [Madrid, Spain] | Hospital Quirón Madrid [Madrid, Spain] | Hospital Rey Juan Carlos [Madrid, Spain] | Hospital Universitario 12 de octubre [Madrid, Spain] | Hospital Universitario Fundación de Alcorcón [Madrid, Spain] | Hospital Universitario Fundación Jiménez Díaz [Madrid, Spain] | Hospital Universitari Son Espases [Palma, Spain] | Complexo Hospitalario Universitario de Santiago [Santiago de Compostela, Spain] | Hospital Virgen del Rocío [Seville, Spain] | Hospital Virgen Macarena [Seville, Spain] | Fundación Instituto Valenciano de Oncología [Valencia, Spain] | Hospital Clínico Universitario de Valencia [Valencia, Spain] | Hospital Universitari Arnau de Vilanova de València [Valencia, Spain]",2017.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"[""Overall Survival"",""Pathologic Complete Response (pCR)""]",2,1,0,1,0,0,0,0,0,1,1,0,0,1,,OTHER,False,2019.0,6.0,0,Phase 2
NCT03272477,Study to Compare Neoadjuvant Combination of Trastuzumab and Pertuzumab With Concurrent Taxane Chemotherapy or Endocrine Therapy and Quality of Life Assessment Under Adjuvant Therapy in Operable HER2+/HR+ Breast Cancer Patients,"A Prospective, Randomized, Multicenter, Open-label Comparison of Pre-surgical Combination of Trastuzumab and Pertuzumab With Concurrent Taxane Chemotherapy or Endocrine Therapy Given for Twelve Weeks With a Quality of Life Assessment of Trastuzumab, Pertuzumab in Combination With Standard (Neo)Adjuvant Treatment in Patients With Operable HER2+/HR+ Breast Cancer.",COMPLETED,PHASE2,Palleos Healthcare GmbH,2017-10-05,2020-07-14,2024-03-04,2017-09-05,2024-04-17,['Pathological complete response (pCR)'],"['Health-related quality of life using EORTC QBL-BR-23 scale', 'Health-related quality of life using EQ5D-5L scale', 'Health-related quality of life using EORTC QLQ-C30 scale', 'Tumor size reduction by mammography', 'Tumor size reduction by palpation and ultrasound', 'Overall survival', 'Duration of invasive disease-free survival', 'Number of mastectomies', 'Ki67 level', 'cDNA composition']",,,,,1,Germany,"Evangelisches Krankenhaus Bethesda Mönchengladbach [Mönchengladbach, Germany]",2017.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response (pCR)"",""Disease-Free Survival""]",2,1,0,1,0,0,0,0,0,1,1,0,0,1,,INDUSTRY,False,2024.0,1.0,0,Phase 2
NCT03433313,Efficacy and Safety Study of EG12014 Compared With Herceptin in Subjects With HER2 Positive Early Breast Cancer,"A Phase III, Randomized, Multicenter, Double-blind Study to Compare Efficacy and Safety of EG12014 With Herceptin as Neoadjuvant Treatment in Combination With Anthracycline/Paclitaxel Systemic Therapy in HER2-Positive Early Breast Cancer",COMPLETED,PHASE3,"EirGenix, Inc.",2018-10-16,2022-01-20,2022-01-20,2018-02-14,2023-01-20,['Determination of pathologic complete response (pCR) at time of surgery'],"['pCR at the time of surgery', 'pCR at the time of surgery', 'Event-free survival (EFS) up to end of study (EOS)', 'Overall response (OR) prior to surgery', 'Overall survival (OS) up to End of Study (EOS)', 'Incidence of AEs', 'Evaluation of Immunogenicity of EG12014 and Herceptin', 'Measure serum trastuzumab concentration']",,,,,91,Belarus; Chile; Colombia; Georgia; India; Russia; South Africa; South Korea; Taiwan; Ukraine; United States,"Detroit Clinical Research Center [Farmington Hills, United States] | Aultman Hospital, Cancer Center [Canton, United States] | Brest Regional Oncology Center [Brest, Belarus] | Gomel Regional Clinical Oncology Center [Homyel, Belarus] | N.N. Aleksandrov Republican Research Oncology and Medical Radiology Center [Lesnoy, Belarus] | Minsk City Clinical Oncology Center [Minsk, Belarus] | Mogilev Regional Oncology Center [Mogilev, Belarus] | Vitebsk Regional Clinical Oncology Center [Vitebsk, Belarus] | Medical Research Limited Society [Temuco, Chile] | Oncocentro Apys [Viña del Mar, Chile] | Clinic Life Foundation [Medellín, Colombia] | Rodrigo Botero SAS [Medellín, Colombia] | LTD High-Tech Hospital MedCenter [Batumi, Georgia] | JSC ""Evex Hospitals [Kutaisi, Georgia] | LTD Acad. F. Todua Medical Center - LTD Research Institute of Clinical Medicine [Tbilisi, Georgia] | LTD Aversi Clinic [Tbilisi, Georgia] | LTD Cancer Research Centre [Tbilisi, Georgia] | LTD Health House [Tbilisi, Georgia] | LTD Institute of Clinical Oncology [Tbilisi, Georgia] | LTD S.Khechinashvili University Hospital [Tbilisi, Georgia] | Malkhaz Katsiashvili Multiprofile Emergency Medicine Center [Tbilisi, Georgia] | Cytecare Cancer Hospitals [Bengaluru, India] | King George's Medical University, Department of Endocrine surgery, Shatabdi Phase II [Lucknow, India] | Tata Memorial Centre [Mumbai, India] | HCG NCHRI Cancer Centre [Nagpur, India] | Christian Medical College, Department of Medical Oncology [Vellore, India] | Arkhangelsk Clinical Oncology Center [Arkhangelsk, Russia] | Chelyabinsk Regional Clinical Oncology and Nuclear Medicine Center [Chelyabinsk, Russia] | Evimed, LLC [Chelyabinsk, Russia] | Ivanovo Regional Oncology Center [Ivanovo, Russia] | Republican Clinical Oncology Center [Kazan', Russia] | Krasnoyarsk A.I. Kryzhanovsky Regional Oncology Center [Krasnoyarsk, Russia] | Kursk Regional Clinical Oncology Center [Kursk, Russia] | N.N. Blokhin National Medical Oncology Research Center [Moscow, Russia] | National Medical Research Center for Radiology [Moscow, Russia] | Vitamed"" LLC [Moscow, Russia] | A.F.Tsyb Medical Radiology Research Center [Obninsk, Russia] | Clinical Oncology Center [Omsk, Russia] | Pyatigorsk Interdistrict Oncology Center [Pyatigorsk, Russia] | Rostov Oncology Research Institute [Rostov-on-Don, Russia] | Regional Clinical Oncology Center [Ryazan, Russia] | AV Medical Group [Saint Petersburg, Russia] | City Clinical Oncology Center [Saint Petersburg, Russia] | Clinic ""Mart"" [Saint Petersburg, Russia] | I.I. Mechnikov North-Western State Medical University [Saint Petersburg, Russia] | Leningrad Regional Oncology Center (Outpatient Department) [Saint Petersburg, Russia] | Leningrad Regional Oncology Center (Surgery Department) [Saint Petersburg, Russia] | N.N. Petrov National Medical Research Center of Oncology [Saint Petersburg, Russia] | Oncology Center of Moskovskiy District [Saint Petersburg, Russia] | Private Medical Institution ""EVROMEDSERVIS"", Department of Oncology [Saint Petersburg, Russia] | St. Petersburg Clinical Research and Practical Center for Specialized Types of Medical Care (Oncology) [Saint Petersburg, Russia] | Republican Oncology Center [Saransk, Russia] | Oncology Center #2 [Sochi, Russia] | Tomsk National Research Medical Center [Tomsk, Russia] | Regional Clinical Oncology Center [Veliky Novgorod, Russia] | Volgograd Regional Clinical Oncology Center [Volgograd, Russia] | GVI Oncology, Cape Gate Oncology Centre [Cape Town, South Africa] | The Oncology Centre [Durban, South Africa] | Medical Oncology Centre of Rosebank [Johannesburg, South Africa] | Little Company of Mary Medical Center, Department of Oncology [Pretoria, South Africa] | University of Pretoria, Department of Medical Oncology [Pretoria, South Africa] | Keimyung University - Dongsan Medical Center [Daegu, South Korea] | Kaohsiung Medical University Chung-Ho Memorial Hospital [Kaohsiung City, Taiwan] | China Medical University Hospital [Taichung, Taiwan] | National Taiwan University Hospital [Taipei, Taiwan] | Taipei Veterans General Hospital [Taipei, Taiwan] | Tri-Service General Hospital [Taipei, Taiwan] | Linkou Chang Gung Memorial Hospital [Taoyuan District, Taiwan] | Chernihiv Regional Oncology Center [Chernihiv, Ukraine] | Chernivtsi Regional Clinical Oncology Center [Chernivtsi, Ukraine] | Clinical Oncology Center [Dnipro, Ukraine] | Dnipropetrovsk City Multispecialty Clinical Hospital #4, Department of Chemotherapy [Dnipro, Ukraine] | Prikarpattia Clinical Oncology Center [Ivano-Frankivsk, Ukraine] | Communal Non-profit enterprise ""Regional Center of Oncology"" [Kharkiv, Ukraine] | State Institution: S.P. Hryhoriev Institute of Medical Radiology under the Ukrainian Academy of Medical Sciences, Department of Clinical Oncology and Hematology [Kharkiv, Ukraine] | Khmelnytskyi Regional Oncology Center [Khmelnytskyi, Ukraine] | Kryvyi Rih Oncology Center, Department of Chemotherapy [Kryvyi Rih, Ukraine] | Kyiv City clinical Hospital #2 [Kyiv, Ukraine] | Kyiv Regional Oncology Center, Department of Mastology [Kyiv, Ukraine] | Medical Center ""Verum"" [Kyiv, Ukraine] | Medical Center of First Private Clinic [Kyiv, Ukraine] | Volyn Regional Oncology Center, Department of Chemotherapy [Lutsk, Ukraine] | Public Institution under Lviv Regional Council: Lviv Regional Treatment and Diagnostics Oncology Center, Department of Chemotherapy [Lviv, Ukraine] | Mariupol Oncology Center [Mariupol, Ukraine] | Odesa Regional Clinical Hospital, Center for Mastology, Department of Thoracic Surgery [Odesa, Ukraine] | Odesa Regional Oncology Center [Odesa, Ukraine] | Ternopil Regional Clinical Oncology Center, Department of Chemotherapy [Ternopil, Ukraine] | Central City Clinical Hospital, Department of Oncology and Radiology [Uzhhorod, Ukraine] | Zakarpattia Regional Clinical Oncology Center, Department of Chemotherapy [Uzhhorod, Ukraine] | Podillia Regional Oncology Center [Vinnytsia, Ukraine] | Zhytomyr Regional Oncology Center [Zhytomyr, Ukraine]",2018.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response"",""Pathologic Complete Response (pCR)""]",2,1,0,1,0,0,0,0,0,1,1,0,0,1,,INDUSTRY,False,2022.0,3.0,1,Phase 3
NCT03588091,Neoadjuvant Study of Pyrotinib in Combination With Trastuzumab in Patients With HER2 Positive Breast Cancer,"A Randomized, Muticenter Double-blind Phase III Study of Neoadjuvant Pyrotinib Plus Trastuzumab and Docetaxel Compared With Placebo Plus Trastuzumab and Docetaxel in Women With HER2 Positive Early Stage or Locally Advanced Breast Cancer",COMPLETED,PHASE3,"Jiangsu HengRui Medicine Co., Ltd.",2018-07-24,2024-01-31,2024-01-31,2018-07-17,2025-08-22,['Percentage of Participants With Pathological Complete Response (pCR) at the Time of Surgery evaluated by independent review committee(IRC)'],"['Percentage of Participants With Pathological Complete Response (pCR) at the Time of Surgery evaluated by sites', 'Event-free survival(EFS)', 'Disease-free Survival (DFS)', 'Distance Disease-free Survival (DDFS)', 'Objective Response Rate (ORR) during neoadjuvant period']",,,,,17,China,"Peking University People's Hospital [Beijing, China] | The Fifth Medical Center of Chinese PLA General Hospital [Beijing, China] | Fujian Medical University Union Hospital [Fuzhou, China] | Sun Yet-Sen University Cancer Center [Guangzhou, China] | Guangdong Provincial People's Hospital [Guangzhou, China] | Sun Yat-sen Memorial Hospital, Sun Yat-sen University [Guangzhou, China] | The Fourth Hospital of Hebei Medical University [Shijiazhuang, China] | The affiliated cancer hospital of Zhengzhou University & Henan Cancer Hospital [Zhengzhou, China] | Huai'an First People's Hospital [Huaian, China] | JiangSu Province Hospital [Nanjing, China] | Shandong Cancer Hospital [Jinan, China] | The Affiliated Hospital Of Qingdao University [Qingdao, China] | Fudan University Shanghai Cancer Center [Shanghai, China] | The Second Affiliated Hospital Of Xi'an Jiaotong University [Xian, China] | The First Affiliated Hospital Zhejiang University School of Medicine [Hangzhou, China] | Zhejiang Cancer Hospital [Hangzhou, China] | The Second Affiliated Hospital Zhejiang University School of Medicine [Hangzhou, China]",2018.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response (pCR)""]",1,1,0,1,0,0,0,0,0,1,1,0,0,1,,INDUSTRY,False,2024.0,1.0,0,Phase 3
NCT03680560,Study of ACTR T Cell Product in Combination With Trastuzumab in Subjects With HER2-Positive Advanced Solid Tumor Cancers,"A Phase 1 Study of an Autologous ACTR T Cell Product in Combination With Trastuzumab, a Monoclonal Antibody, in Subjects With HER2-Positive Advanced Malignancies",TERMINATED,PHASE1,"Cogent Biosciences, Inc.",2019-03-13,2020-03-12,2020-03-12,2018-09-21,2020-03-31,"['Safety and tolerability of ACTR T cell product with trastuzumab as assessed by committee review of dose limiting toxicities (DLTs), incidence and severity of adverse events (AEs) and clinically significant abnormalities of laboratory values', 'Determination of recommended phase 2 dose (RP2D) regimen']","['Anti-tumor activity as measured by overall response rate (ORR) per iRECIST', 'Anti-tumor activity as measured best overall response (BOR)', 'Anti-tumor activity as measured by duration of response (DOR)', 'Anti-tumor activity as measured by progression-free survival (PFS)', 'Anti-tumor activity as measured by overall survival (OS)', 'Assessment of persistence of ACTR as measured by flow cytometry', 'Assessment of persistence of ACTR as measured by quantitative polymerase chain reaction (qPCR)', 'Assessment of ACTR phenotype and function as measured by flow cytometry', 'Assessment of induction of inflammatory markers and cytokines/chemokines after ACTR T cell product administration', 'Trastuzumab pharmacokinetics (PK)']",,,,,6,United States,"Yale Smilow Cancer Hospital [New Haven, United States] | Miami University Cancer Center [Miami, United States] | The Ohio State University [Columbus, United States] | Sarah Cannon Research Institute/Tennessee Oncology, PLLC [Nashville, United States] | Baylor Scott & White Medical Center [Dallas, United States] | MD Anderson Cancer Center [Houston, United States]",2019.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"[""Overall Survival"",""Pathologic Complete Response (pCR)""]",2,1,0,1,0,0,0,0,0,1,1,0,1,0,,INDUSTRY,False,2020.0,5.0,0,Phase 1
NCT03735966,Neoadjuvant Study of Pyrotinib and Trastuzumab Plus Docetaxel and Carboplatin in HER2 Positive Breast Cancer Patients.,"Neoadjuvant Study of Pyrotinib in Combination With Trastuzumab Plus Docetaxel and Carboplatin in Patients With HER2 Positive Early Stage or Locally Advanced Breast Cancer : a Single-arm,Ahead , Open-label Study",COMPLETED,PHASE2,Henan Cancer Hospital,2018-11-20,2020-10-20,2020-10-20,2018-11-08,2022-12-01,['Pathological Complete Response (pCR)'],"['EFS', 'DFS', 'DDFS', 'ORR']",,,,,1,China,"Henan cancer hospital [Zhengzhou, China]",2018.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[""Pathologic Complete Response (pCR)"",""Event-Free Survival""]",2,1,0,1,0,0,0,0,0,1,1,0,0,1,,OTHER_GOV,False,2020.0,5.0,0,Phase 2
