nct_id,title,official_title,overall_status,phase,sponsor,start_date,primary_completion_date,completion_date,first_posted_date,last_update_date,planned_primary_outcomes,planned_secondary_outcomes,results_outcome_measures,results_participant_flow,results_baseline,results_adverse_events,site_count,site_countries,sites_compact,start_year,Pathologic_Complete_Response,Event_Free_Survival,Disease_Free_Survival,Overall_Survival,Best_Overall_Response,Duration_of_Response,Progression_Free_Survival,Overall_Response,Target_Response,Non_target_Response,Symptomatic_Deterioration,Disease_Recurrence,Pathologic_Complete_Response_pCR,Objective_Response_Rate,Time_to_Progression,detected_endpoint_names,planned_endpoint_count,reporting_gap_flag,consort_participant_flow,consort_recruitment,consort_baseline,consort_numbers_analyzed,consort_outcomes_estimation,consort_ancillary_analyses,consort_harms,consort_results_score,HER2_flag,BRCAm_flag,NM_new_medicine,EI_extension_of_indication,nm_ei_explanation,sponsor_class,has_results,completion_year,years_since_completion,multi_country_flag,phase_bucket
NCT01009437,Ritonavir and Its Effects on Biomarkers in Women Undergoing Surgery for Newly Diagnosed Breast Cancer,A Phase I/II Trial of Short Course Pre-Operative Ritonavir To Determine Akt Inhibition in Breast Cancer,COMPLETED,PHASE1,"Masonic Cancer Center, University of Minnesota",2010-05-26,2014-07,2014-07,2009-11-06,2017-12-05,['Inhibition of breast cancer by targeting Hsp90-Akt pathway'],"['Activation of apoptosis markers', 'Modulation of autophagy markers', 'Alteration of plasma levels of eicosanoids', 'Induction of Hsp70 in peripheral blood mononuclear cells', 'Reduction of ERα in ERα+ tumors', 'Changes in TNF-α and IL-6 levels as well as reduction in intratumoral nuclear NF-kB and phospho-Stat3', 'Alteration of urine eicosanoid levels', 'Alteration of plasma and urine eicosanoid levels resulting from tumor resection.', 'Induction of the unfolded protein response (UPR) assayed by grp78 or related markers (phospho-PERK, ATF-4, and CHOP)', 'inhibition of tumor growth markers (Ki67 LI, Hsp90, phosphorylated AKT)']",,,,,2,United States,"Masonic Cancer Center, University of Minnesota [Minneapolis, United States] | The Kimmel Cancer Center at Jefferson University [Philadelphia, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,OTHER,False,2014.0,11.0,0,Phase 1
NCT01035268,Adipose Tissue Transfer for Moderate Breast Cancer Conservative Treatment Sequella,Adipose Tissue Transfer for Moderate Breast Cancer Conservative Treatment Sequella. Adipocyte Transplant for Esthetical Relapse Treatment of Breast Conservative Treatment,TERMINATED,PHASE3,Institut Claudius Regaud,2010-02-08,2015-10,2017-02-21,2009-12-18,2018-08-22,['Verify that the disturbances of the radiological follow-up in 1 year will not be more frequent for the patient benefiting from fatty transfer with regard to a simple surveillance.'],"['Estimate the technique on the cosmetic plan : On the quality and on the stability of the result. On the satisfaction of the patient.', 'Estimate the technique on the carcinological plan : Estimate the rate of local relapse and\\or in distance. Estimate the rate of survival of the patients.']",,,,,23,France,"CHU de Besançon [Besançon, France] | Clinique Saint Antoine [Bois-Guillaume, France] | CHU Pellegrin [Bordeaux, France] | Institut Bergonie [Bordeaux, France] | Pole de Sante de Leonard de Vinci [Chambray-lès-Tours, France] | Hopital Henri Mondor [Créteil, France] | Centre Hospitalier La Croix Rousse [Lyon, France] | Hopital Edouard Herriot [Lyon, France] | CHR Marseille Conception [Marseille, France] | Institut Paoli Calmettes [Marseille, France] | Centre Val d'Aurelle [Montpellier, France] | Clinique Brétéché [Nantes, France] | INSTITUT CURIE - Site Paris [Paris, France] | Hopital Saint Louis [Paris, France] | Centre Eugene Marquis [Rennes, France] | Centre Henri Becquerel [Rouen, France] | INSTITUT CURIE - René Huguenin [Saint-Cloud, France] | INSTITUT DE CANCEROLOGIE DE L'OUEST - Centre René Gauducheau [Saint-Herblain, France] | Hôpitaux Universitaires de Strasbourg [Strasbourg, France] | CHU Rangueil [Toulouse, France] | Institut Claudius Regaud [Toulouse, France] | Centre Alexis Vautrin [Vandœuvre-lès-Nancy, France] | Institut Gustave Roussy [Villejuif, France]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,0,1,"The text discusses the use of adipose tissue transfer in the context of breast cancer treatment, which suggests an extension of indication for an existing treatment rather than introducing a new medicine.",OTHER,False,2017.0,8.0,0,Phase 3
NCT01084057,Ixabepilone and Vorinostat in Treating Patients With Metastatic Breast Cancer,Phase I Trial of Ixabepilone and Vorinostat in Metastatic Breast Cancer,COMPLETED,PHASE1,City of Hope Medical Center,2010-05-17,2012-11-12,2019-09-27,2010-03-10,2019-11-05,"['Dose limiting toxicity defined as any treatment-related grade 3 or greater non-hematologic toxicity, grade 4 febrile neutropenia, thrombocytopenia or grade 4 neutropenia as a result of unresolved toxicity']","['Objective response rate and/or clinical benefit rate', 'Toxicity profile']",,,,,2,United States,"City of Hope [Duarte, United States] | South Pasadena Cancer Center [South Pasadena, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"[""Overall Survival"",""Objective Response Rate""]",2,1,0,1,0,0,0,0,0,1,0,0,1,0,,OTHER,False,2019.0,6.0,0,Phase 1
NCT01084642,Female Cancer Patients' Preference For Sexual Health Interventions,A Pilot Study Surveying Female Cancer Patients' Preference For Sexual Health Interventions,COMPLETED,,Memorial Sloan Kettering Cancer Center,2010-03-04,2017-07-03,2017-07-03,2010-03-10,2017-07-06,"[""Participant' awareness of sexual health issues & preference for sexual health intervention""]","[""To assess & describe female cancer patients' attitudes towards & preference of methods to receive sexual health information (verbal or written) & psychosexual education patient information cards or intervention modality (telephone, in-person or online).""]",,,,,1,United States,"Memorial Sloan Kettering Cancer Center [New York, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,0,0,"The text discusses a survey on female cancer patients' preferences for sexual health interventions, which does not indicate a new medicine or an extension of indication for an existing medicine.",OTHER,False,2017.0,8.0,0,NA/Other
NCT01091545,Malmö Breast Tomosynthesis Screening Trial,Malmö Breast Tomosynthesis Screening Trial,COMPLETED,,Region Skane,2010-02-01,2017-12-31,2019-09-30,2010-03-24,2019-11-13,['Sensitivity and specificity for breast cancer detection for DBT and DM respectively'],"['What kind of cancers are detected and not detected with DBT?', 'Cost-effectiveness of DBT in screening']",,,,,1,Sweden,"Malmö Breast Screening Unit, Skåne University Hospital [Malmo, Sweden]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,0,0,The text discusses a screening trial for breast cancer detection using digital breast tomosynthesis (DBT) but does not indicate the introduction of a new medicine or an extension of indication for an existing treatment.,OTHER,False,2019.0,6.0,0,NA/Other
NCT01116869,China CellSearch Study,"A Multi-Center, Prospective Study to Evaluate the Ability of CTC Enumeration Using the CellSearch® Circulating Tumor Cell Kit to Predict Prognosis and to Assess the Agreement Between CTC and Imaging Determined Response in MBC Patients 一项评价CellSearch® 循环肿瘤细胞检测试剂盒对复发转移性乳腺癌患者进行循环肿瘤细胞检测 以预测病人预后的能力及循环肿瘤细胞检测和影像学疗效判断之间一致性的多中心、前瞻性的研究",COMPLETED,,"Johnson & Johnson Medical, China",2010-03-25,2011-06-22,2014-01-06,2010-05-05,2019-11-15,['Ability of CTC levels to predict progression-free survival (PFS) in MBC patients.'],"['Ability of CTC levels to predict overall survival (OS) in MBC patients.', ""Agreement between CTC counts (3-4 weeks and 6-8 weeks) after the initiation of a new line of systemic therapy and the patient's response as determined by imaging evaluation (6-8 weeks after the initiation of therapy) in MBC patients.""]",,,,,1,China,"307 Hosptial of PLA [Beijing, China]",2010.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"[""Progression-Free Survival"",""Overall Survival""]",2,1,0,1,0,0,0,0,0,1,0,0,0,1,"The study evaluates the ability of an existing diagnostic tool (CellSearch® Circulating Tumor Cell Kit) to predict prognosis and assess treatment response in metastatic breast cancer (MBC) patients, indicating an extension of its indication rather than a new medicine.",INDUSTRY,False,2014.0,11.0,0,NA/Other
NCT01127295,Pharmacology of Adjuvant Hormonotherapy in Breast Cancer,"Breast Cancer Adjuvant Hormonotherapy : Tamoxifen and the Anti-aromatases Pharmacokinetics, Correlation With the Pharmacogenetic Characteristics PHACS Protocol : Pharmacology of Adjuvant Hormonotherapy in Breast Cancer",COMPLETED,PHASE4,Institut Claudius Regaud,2010-06-17,2017-12-01,2017-12-01,2010-05-20,2018-03-02,['Correlation between pharmacokinetic and pharmacogenetic parameters'],"['To estimate the relation between plasmatic concentrations, pharmacogenetic characteristic and adverse effects.', 'To estimate the relation between the genetic polymorphisms and premature relapses in the first 3 years of treatment', 'To estimate the link between plasmatic concentrations and the premature relapse (in the first 3 years)', 'To estimate the declared therapeutic observance to the real exposure at the treatment measured by plasmatic concentrations.', 'appearance auto-antibody and correlate to the clinical data']",,,,,24,France,"Clinique Calabet [Agen, France] | Clinique Claude Bernard [Albi, France] | Centre Hospitalier d'Auch [Auch, France] | CHU de Bordeaux [Bordeaux, France] | Clinique Tivoli [Bordeaux, France] | Institut Bergonié [Bordeaux, France] | Polyclinique Bordeaux Nord [Bordeaux, France] | Centre Hospitalier de Brive [Brive-la-Gaillarde, France] | Centre Hospitalier de Cahors [Cahors, France] | Centre Hospitalier Intercommunal de Castres-Mazamet [Castres, France] | Hôpital Dupuytren CHU Limoges [Limoges, France] | Centre Hospitalier de Mont de Marsan [Mont-de-Marsan, France] | Centre Hospitalier de Montauban [Montauban, France] | Centre Val d'Aurelle [Montpellier, France] | Hôpital Caremeau CHU Nîmes [Nîmes, France] | Centre Hospitalier de Pau [Pau, France] | Centre Catalan d'Oncologie [Perpignan, France] | Centre Hospitalier de Rodez [Rodez, France] | Polyclinique de l'Ormeau [Tarbes, France] | Claudius Regaud [Toulouse, France] | CHU de Rangueil [Toulouse, France] | Clinique Pasteur - Département d'Oncologie Médicale [Toulouse, France] | Clinique Pasteur - Département de Radiothérapie [Toulouse, France] | Clinique Saint-Jean du Languedoc [Toulouse, France]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"[""Objective Response Rate"",""Overall Survival""]",2,1,0,1,0,0,0,0,0,1,0,0,0,1,,OTHER,False,2017.0,8.0,0,Other
NCT01131195,Metronomic Therapy in Metastatic Breast Cancer.,"Safety and Tolerability of Bevacizumab Plus Paclitaxel vs. Bevacizumab Plus Metronomic Cyclophosphamide and Capecitabine as First-Line Therapy in Patients With HER2-Negative Metastatic or Locally Recurrent Breast Cancer - A Multicenter, Randomized Phase III Trial.",COMPLETED,PHASE3,Swiss Cancer Institute,2010-07-19,2012-12-14,2018-02-28,2010-05-26,2019-05-15,['Incidence of grade 3-5 adverse events'],"['Objective response (OR)', 'Disease control (DC)', 'Progression-free survival (PFS)', 'Overall survival (OS)', 'Time to specific grade 3-5 adverse events']",,,,,23,Switzerland,"Hirslanden Klinik Aarau [Aarau, Switzerland] | Kantonspital Aarau [Aarau, Switzerland] | Kantonsspital Baden [Baden, Switzerland] | Universitaetsspital-Basel [Basel, Switzerland] | Spitalzentrum Biel [Biel, Switzerland] | RSV-GNW Spitalzentrum Oberwallis [Brig, Switzerland] | Kantonsspital Graubuenden [Chur, Switzerland] | Kantonsspital Frauenfeld [Frauenfeld, Switzerland] | Kantonsspital Freiburg [Fribourg, Switzerland] | Hopital Cantonal Universitaire de Geneve [Geneva, Switzerland] | Centre Hospitalier Universitaire Vaudois [Lausanne, Switzerland] | Kantonsspital Luzern [Luzerne, Switzerland] | Oncology Institute of Southern Switzerland - IOSI Ticino [Mendrisio, Switzerland] | Kantonsspital Olten [Olten, Switzerland] | Kantonsspital - St. Gallen [Sankt Gallen, Switzerland] | Hopital Regional de Sion-Herens-Conthey [Sion, Switzerland] | Regionalspital Thun [Thun, Switzerland] | Spital Uster [Uster, Switzerland] | Kantonsspital Winterthur [Winterthur, Switzerland] | Onkozentrum - Klinik im Park [Zurich, Switzerland] | Onkozentrum Hirslanden [Zurich, Switzerland] | City Hospital Triemli [Zurich, Switzerland] | UniversitaetsSpital Zuerich [Zurich, Switzerland]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,1,0,0,0,,OTHER,False,2018.0,7.0,0,Phase 3
NCT01138085,"Safety, Pharmacokinetics (PK) of AKT and MEK Combination","A Phase I Dose Escalation Open-Label Safety, Pharmacokinetic and Pharmacodynamic Study to Determine the Recommended Phase II Dose of GSK1120212 Dosed in Combination With GSK2141795",COMPLETED,PHASE1,GlaxoSmithKline,2010-05-04,2014-11-19,2014-11-19,2010-06-07,2017-11-13,"['Part 1A: To determine the safety, tolerability and recommended Phase II dose of GSK1120212 and GSK2141795 administered in combination orally, once daily continuously', 'Part 1B:To determine the safety, tolerability and recommended Phase II dose of GSK1120212 and GSK2141795 administered in combination with an alternate schedule (i.e., at least one agent is dosed intermittently)', 'Parts 2A/2B: To evaluate the clinical activity of GSK1120212 and GSK2141795 administered in combination in subjects with solid tumors that are predicted to be sensitive to the inhibition of MEK and/or AKT, including TNBC and BRAF-wild type melanoma']","['To characterize the PK of GSK1120212 and GSK2141795 for a once daily continuous dosing schedule (Part 1A) and/or an intermittent dosing schedule (Part 1B).', 'Part 1A, Part 1B: To evaluate the clinical activity of GSK1120212 and GSK2141795 in subjects with solid tumors.', 'Parts 1 and 2: To characterize the durability of response with GSK1120212 and GSK2141795 dosed orally in combination', 'To evaluate the pharmacodynamic (PD) response in tumors after treatment with the combination of GSK1120212 and GSK2141795.', 'To explore relationships between study drug PK, PD and clinical activity']",,,,,10,United States,"GSK Investigational Site [Aurora, United States] | GSK Investigational Site [New Haven, United States] | GSK Investigational Site [Boston, United States] | GSK Investigational Site [Boston, United States] | GSK Investigational Site [New Brunswick, United States] | GSK Investigational Site [Nashville, United States] | GSK Investigational Site [Dallas, United States] | GSK Investigational Site [Houston, United States] | GSK Investigational Site [San Antonio, United States] | GSK Investigational Site [Salt Lake City, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,INDUSTRY,False,2014.0,11.0,0,Phase 1
NCT01138384,Study of Foretinib in Combination With Lapatinib in Patients With Metastatic Breast Cancer,A Phase I/II Study of Foretinib in Combination With Lapatinib in Patients With Human Epidermal Growth Factor Receptor 2(HER2)Over-Expressing Metastatic Breast Cancer,COMPLETED,PHASE1; PHASE2,NCIC Clinical Trials Group,2010-10-27,2014-05-14,2015-02-13,2010-06-07,2023-08-04,"['Toxicity, maximum administered dose and the recommended phase II dose']","['Pharmacokinetic evaluation of lapatinib', 'Preliminary evidence of efficacy']",,,,,5,Canada,"BCCA - Cancer Centre for the Southern Interior [Kelowna, Canada] | BCCA - Vancouver Cancer Centre [Vancouver, Canada] | Cancer Centre of Southeastern Ontario at Kingston [Kingston, Canada] | London Regional Cancer Program [London, Canada] | McGill University - Dept. Oncology [Montreal, Canada]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,1,0,1,0,,NETWORK,False,2015.0,10.0,0,Phase 2
