nct_id,title,official_title,overall_status,phase,sponsor,start_date,primary_completion_date,completion_date,first_posted_date,last_update_date,planned_primary_outcomes,planned_secondary_outcomes,results_outcome_measures,results_participant_flow,results_baseline,results_adverse_events,site_count,site_countries,sites_compact,start_year,Pathologic_Complete_Response,Event_Free_Survival,Disease_Free_Survival,Overall_Survival,Best_Overall_Response,Duration_of_Response,Progression_Free_Survival,Overall_Response,Target_Response,Non_target_Response,Symptomatic_Deterioration,Disease_Recurrence,Pathologic_Complete_Response_pCR,Objective_Response_Rate,Time_to_Progression,detected_endpoint_names,planned_endpoint_count,reporting_gap_flag,consort_participant_flow,consort_recruitment,consort_baseline,consort_numbers_analyzed,consort_outcomes_estimation,consort_ancillary_analyses,consort_harms,consort_results_score,HER2_flag,BRCAm_flag,NM_new_medicine,EI_extension_of_indication,nm_ei_explanation,sponsor_class,has_results,completion_year,years_since_completion,multi_country_flag,phase_bucket
NCT01009437,Ritonavir and Its Effects on Biomarkers in Women Undergoing Surgery for Newly Diagnosed Breast Cancer,A Phase I/II Trial of Short Course Pre-Operative Ritonavir To Determine Akt Inhibition in Breast Cancer,COMPLETED,PHASE1,"Masonic Cancer Center, University of Minnesota",2010-05-26,2014-07,2014-07,2009-11-06,2017-12-05,['Inhibition of breast cancer by targeting Hsp90-Akt pathway'],"['Activation of apoptosis markers', 'Modulation of autophagy markers', 'Alteration of plasma levels of eicosanoids', 'Induction of Hsp70 in peripheral blood mononuclear cells', 'Reduction of ERα in ERα+ tumors', 'Changes in TNF-α and IL-6 levels as well as reduction in intratumoral nuclear NF-kB and phospho-Stat3', 'Alteration of urine eicosanoid levels', 'Alteration of plasma and urine eicosanoid levels resulting from tumor resection.', 'Induction of the unfolded protein response (UPR) assayed by grp78 or related markers (phospho-PERK, ATF-4, and CHOP)', 'inhibition of tumor growth markers (Ki67 LI, Hsp90, phosphorylated AKT)']",,,,,2,United States,"Masonic Cancer Center, University of Minnesota [Minneapolis, United States] | The Kimmel Cancer Center at Jefferson University [Philadelphia, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,OTHER,False,2014.0,11.0,0,Phase 1
NCT01084057,Ixabepilone and Vorinostat in Treating Patients With Metastatic Breast Cancer,Phase I Trial of Ixabepilone and Vorinostat in Metastatic Breast Cancer,COMPLETED,PHASE1,City of Hope Medical Center,2010-05-17,2012-11-12,2019-09-27,2010-03-10,2019-11-05,"['Dose limiting toxicity defined as any treatment-related grade 3 or greater non-hematologic toxicity, grade 4 febrile neutropenia, thrombocytopenia or grade 4 neutropenia as a result of unresolved toxicity']","['Objective response rate and/or clinical benefit rate', 'Toxicity profile']",,,,,2,United States,"City of Hope [Duarte, United States] | South Pasadena Cancer Center [South Pasadena, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"[""Overall Survival"",""Objective Response Rate""]",2,1,0,1,0,0,0,0,0,1,0,0,1,0,,OTHER,False,2019.0,6.0,0,Phase 1
NCT01138085,"Safety, Pharmacokinetics (PK) of AKT and MEK Combination","A Phase I Dose Escalation Open-Label Safety, Pharmacokinetic and Pharmacodynamic Study to Determine the Recommended Phase II Dose of GSK1120212 Dosed in Combination With GSK2141795",COMPLETED,PHASE1,GlaxoSmithKline,2010-05-04,2014-11-19,2014-11-19,2010-06-07,2017-11-13,"['Part 1A: To determine the safety, tolerability and recommended Phase II dose of GSK1120212 and GSK2141795 administered in combination orally, once daily continuously', 'Part 1B:To determine the safety, tolerability and recommended Phase II dose of GSK1120212 and GSK2141795 administered in combination with an alternate schedule (i.e., at least one agent is dosed intermittently)', 'Parts 2A/2B: To evaluate the clinical activity of GSK1120212 and GSK2141795 administered in combination in subjects with solid tumors that are predicted to be sensitive to the inhibition of MEK and/or AKT, including TNBC and BRAF-wild type melanoma']","['To characterize the PK of GSK1120212 and GSK2141795 for a once daily continuous dosing schedule (Part 1A) and/or an intermittent dosing schedule (Part 1B).', 'Part 1A, Part 1B: To evaluate the clinical activity of GSK1120212 and GSK2141795 in subjects with solid tumors.', 'Parts 1 and 2: To characterize the durability of response with GSK1120212 and GSK2141795 dosed orally in combination', 'To evaluate the pharmacodynamic (PD) response in tumors after treatment with the combination of GSK1120212 and GSK2141795.', 'To explore relationships between study drug PK, PD and clinical activity']",,,,,10,United States,"GSK Investigational Site [Aurora, United States] | GSK Investigational Site [New Haven, United States] | GSK Investigational Site [Boston, United States] | GSK Investigational Site [Boston, United States] | GSK Investigational Site [New Brunswick, United States] | GSK Investigational Site [Nashville, United States] | GSK Investigational Site [Dallas, United States] | GSK Investigational Site [Houston, United States] | GSK Investigational Site [San Antonio, United States] | GSK Investigational Site [Salt Lake City, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,INDUSTRY,False,2014.0,11.0,0,Phase 1
NCT01138384,Study of Foretinib in Combination With Lapatinib in Patients With Metastatic Breast Cancer,A Phase I/II Study of Foretinib in Combination With Lapatinib in Patients With Human Epidermal Growth Factor Receptor 2(HER2)Over-Expressing Metastatic Breast Cancer,COMPLETED,PHASE1; PHASE2,NCIC Clinical Trials Group,2010-10-27,2014-05-14,2015-02-13,2010-06-07,2023-08-04,"['Toxicity, maximum administered dose and the recommended phase II dose']","['Pharmacokinetic evaluation of lapatinib', 'Preliminary evidence of efficacy']",,,,,5,Canada,"BCCA - Cancer Centre for the Southern Interior [Kelowna, Canada] | BCCA - Vancouver Cancer Centre [Vancouver, Canada] | Cancer Centre of Southeastern Ontario at Kingston [Kingston, Canada] | London Regional Cancer Program [London, Canada] | McGill University - Dept. Oncology [Montreal, Canada]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,1,0,1,0,,NETWORK,False,2015.0,10.0,0,Phase 2
NCT01145430,"Veliparib and Pegylated Liposomal Doxorubicin Hydrochloride in Treating Patients With Recurrent Ovarian Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer or Metastatic Breast Cancer","Phase I Study of ABT-888, PARP Inhibitor, and Pegylated Liposomal Doxorubicin (PLD) in Recurrent Gynecologic Cancer and Breast Cancer",COMPLETED,PHASE1,National Cancer Institute (NCI),2010-06-01,2017-05-23,,2010-06-16,2017-12-22,"['Recommended Phase II dose of veliparib, based on incidence of dose limiting toxicity, graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events (CTCAE) version 4.0']","['Frequency of subjects experiencing toxicities in each stratum, assessed and graded according to terminology in the Cancer Therapy Evaluation Program (CTEP) version 4.0 of the CTCAE', 'Overall survival', 'Progression-free survival']",,,,,6,United States,"Laura and Isaac Perlmutter Cancer Center at NYU Langone [New York, United States] | Mount Sinai Hospital [New York, United States] | Columbia University/Herbert Irving Cancer Center [New York, United States] | Weill Medical College of Cornell University [New York, United States] | Montefiore Medical Center-Einstein Campus [The Bronx, United States] | Montefiore Medical Center - Moses Campus [The Bronx, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,NIH,False,,,0,Phase 1
NCT01162200,Cyberknife® Partial Breast Irradiation (PBI) for Early Stage Breast Cancer,A Phase I Study of Cyberknife® Partial Breast Irradiation (PBI) for Early Stage Breast Cancer,COMPLETED,PHASE1,University of Texas Southwestern Medical Center,2010-10-04,2015-07-25,2015-12-28,2010-07-14,2020-08-20,['The maximum tolerated dose to the lumpectomy cavity in patients with early stage breast cancer'],"['Dose-limiting toxicity', 'The cosmesis of breast']",,,,,2,United States,"University of Texas Southwestern Medical Center [Dallas, United States] | UT Southwestern Medical Center [Dallas, United States]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,OTHER,False,2015.0,10.0,0,Phase 1
NCT01219699,"A Study of BYL719 in Adult Patients With Advanced Solid Malignancies, Whose Tumors Have an Alteration of the PIK3CA Gene","A Phase IA, Multicenter, Open-label Dose Escalation Study of Oral BYL719, in Adult Patients With Advanced Solid Malignancies, Whose Tumors Have an Alteration of the PIK3CA Gene",COMPLETED,PHASE1,Novartis Pharmaceuticals,2010-10-05,2015-02-05,2020-04-16,2010-10-13,2020-09-22,['Incidence rate of dose limiting toxicities (DLT).'],"['Overall safety and tolerability of BYL719 as single agent and in combination with fulvestrant', 'PK parameters of BYL719 as single agent and in combination with fulvestrant - AUC-tlast and AUC0-inf.', 'PK parameters of BYL719 as single agent and in combination with fulvestrant - Cmax.', 'Pharmacokinetics of BYL719 as single agent and in combination with fulvestrant - Tmax.', 'Pharmacokinetics of BYL719 as single agent and in combination with fulvestrant - CL/F.', 'Pharmaconkinetics of BYL719 as single agent and in combination with fulvestrant - Vz/F.', 'Pharmacokinetics of BYL719 as single agent and in combination with fulvestrant - Terminal half-life (t1/2)', 'Preliminary efficacy of BYL719 as single agent and in combination with fulvestrant by measuring ORR.', 'Progression-free survival at maximum tolerated dose']",,,,,11,Germany; Netherlands; Spain; United Kingdom; United States,"UCSF Medical Center [San Francisco, United States] | Massachusetts General Hospital [Boston, United States] | Sarah Cannon Research Institute Dept.ofSarahCannonCancerCtr(4) [Nashville, United States] | Vanderbilt Univeristy SC [Nashville, United States] | MD Anderson Cancer Center/University of Texas MD Anderson [Houston, United States] | Novartis Investigative Site [Essen, Germany] | Novartis Investigative Site [Würzburg, Germany] | Novartis Investigative Site [Amsterdam, Netherlands] | Novartis Investigative Site [Barcelona, Spain] | Novartis Investigative Site [L'Hospitalet de Llobregat, Spain] | Novartis Investigative Site [Oxford, United Kingdom]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,"The trial is focused on BYL719, which is being tested as a new treatment for advanced solid malignancies, indicating it is a new medicine.",INDUSTRY,False,2020.0,5.0,1,Phase 1
NCT01226316,"Safety, Tolerability & Potential Anti-cancer Activity of Increasing Doses of AZD5363 in Different Treatment Schedules","A Phase I, Open-Label, Multicentre Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Anti-tumour Activity of Ascending Doses of AZD5363 Under Adaptable Dosing Schedules in Patients With Advanced Solid Malignancies",COMPLETED,PHASE1,AstraZeneca,2010-12-01,2019-04-26,2024-12-03,2010-10-22,2025-06-29,"['Parts A,B,C,D,E & F : Safety and tolerability of AZD5363 in terms of adverse events and serious adverse events', 'Parts A,B,C,D,E & F : Safety and tolerability of AZD5363 in terms of death', 'Parts A,B,C,D,E & F: Safety and tolerability of AZD5363 by assessing changes from baseline of laboratory data (clinical chemistry, haematology, urinalysis)', 'Parts A,B,C,D,E & F: Safety and tolerability of AZD5363 in terms of changes from baseline in vital signs and in electrocardiogram (ECG) parameters', 'Parts A,B,C,D,E & F: Safety and tolerability of AZD5363 by assessing changes from baseline in electrocardiogram (ECG) parameters', 'Parts A,B,C,D,E & F: Safety and tolerability of AZD5363 by assessing changes from baseline of glucose laboratory parameters (Urine, serum and plasma glucose, glycosylated haemoglobin).', 'Parts A,B,C,D,E & F: Safety and tolerability of AZD5363 by assessing left ventricular ejection fraction (LVEF).']","['To characterise AZD5363 PK following single & multiple dosing by assessment of maximum plasma concentration,time to Cmax, terminal rate constant, terminal half life,area under the plasma concentration-time curve,plasma clearance & volume of distribution.', 'Parts A,B,C,D,E&F: To obtain a preliminary assessment of anti-tumour activity of AZD5363 via use of Response Evaluation Criteria in Solid Tumours (RECIST) version 1.1']",,,,,34,Canada; Denmark; France; Italy; Japan; Netherlands; Singapore; Spain; United Kingdom; United States,"Research Site [Los Angeles, United States] | Research Site [Stanford, United States] | Research Site [West Hollywood, United States] | Research Site [Aurora, United States] | Research Site [Boston, United States] | Research Site [New York, United States] | Research Site [Oklahoma City, United States] | Research Site [Portland, United States] | Research Site [Charleston, United States] | Research Site [Nashville, United States] | Research Site [Nashville, United States] | Research Site [Houston, United States] | Research Site [Edmonton, Canada] | Research Site [Vancouver, Canada] | Research Site [Toronto, Canada] | Research Site [Montreal, Canada] | Research Site [København Ø, Denmark] | Research Site [Paris, France] | Research Site [Pierre-Bénite, France] | Research Site [Villejuif, France] | Research Site [Milan, Italy] | Research Site [Napoli, Italy] | Research Site [Prato, Italy] | Research Site [Chūōku, Japan] | Research Site [Kashiwa, Japan] | Research Site [Kōtoku, Japan] | Research Site [Sapporo, Japan] | Research Site [Amsterdam, Netherlands] | Research Site [Singapore, Singapore] | Research Site [Madrid, Spain] | Research Site [Madrid, Spain] | Research Site [Valencia, Spain] | Research Site [Manchester, United Kingdom] | Research Site [Sutton, United Kingdom]",2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,0,,INDUSTRY,False,2024.0,1.0,1,Phase 1
NCT01234857,A Study of Ridaforolimus (MK-8669) in Combination With Dalotuzumab (MK-0646) Compared to Standard of Care Treatment in Estrogen Receptor Positive Breast Cancer Patients (MK-8669-041 AM3),"A Two-Part Adaptive, Randomized Trial of Ridaforolimus in Combination With Dalotuzumab Compared to Exemestane or Compared to Ridaforolimus or Dalotuzumab Monotherapy in Estrogen Receptor Positive Breast Cancer Patients",COMPLETED,PHASE2,Merck Sharp & Dohme LLC,2010-09-17,2013-10-15,2013-10-15,2010-11-04,2017-05-31,['Progression free survival (PFS)'],"['Objective response rate (ORR)', 'Overall survival (OS)']",,,,,0,,,2010.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"[""Progression-Free Survival"",""Overall Survival""]",2,1,0,1,0,0,0,0,0,1,0,0,1,0,"The trial involves Ridaforolimus and Dalotuzumab, which are being tested in combination for a specific cancer type, indicating a new medicine approach rather than an extension of indication for existing treatments.",INDUSTRY,False,2013.0,12.0,0,Phase 2
NCT01263145,MK2206 and Paclitaxel in Treating Patients With Locally Advanced or Metastatic Solid Tumors or Metastatic Breast Cancer,Phase Ib Dose Escalation and Biomarker Study of MK-2206 in Combination With Standard Doses of Weekly Paclitaxel in Patients With Locally Advanced or Metastatic Solid Tumors With an Expansion in Advanced Breast Cancer,COMPLETED,PHASE1,National Cancer Institute (NCI),2011-01-05,2012-10-19,2012-10-19,2010-12-20,2017-08-25,"['Antitumor activity of the combination in metastatic breast cancer (Expansion phase)', 'MTD of the combination of MK-2206 and paclitaxel defined as the dose level in which less than or equal to 1 out of 6 patients develop dose limiting toxicity assessed using Common Terminology Criteria for Adverse Events version 4 (Phase I)']","['Change in average number of circulating tumor cells (CTCs)', 'Change in multiplex proteomics', 'Change in percentage of biomarkers assessed using immunohistochemistry', 'Change in percentage of marker of proliferation Ki-67 (Ki-67) positive cells', 'Change in reverse phase proteomic arrays (RPPA)', 'Pharmacokinetic parameters of Akt inhibitor MK2206', 'Pharmacokinetic parameters of paclitaxel']",,,,,3,United States,"Dana-Farber Cancer Institute [Boston, United States] | Vanderbilt University/Ingram Cancer Center [Nashville, United States] | M D Anderson Cancer Center [Houston, United States]",2011.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""Overall Survival""]",1,1,0,1,0,0,0,0,0,1,0,0,1,1,"The trial involves MK2206, which is a new medicine being tested in combination with paclitaxel for treating advanced solid tumors and metastatic breast cancer, indicating both a new medicine and an extension of indication for the existing treatment.",NIH,False,2012.0,13.0,0,Phase 1
